{a,b,c},
{aa,ab,ac},
{ba,bb,bc},
{ca,cb,cc},
{aba,abb,abc},
{aca,acb,acc},
{baa,bab,bac},
{bca,bcb,bcc},
{caa,cab,cac},
{cba,cbb,cbc},
{aaa,aab,aac},
{bba,bbb,bbc},
{cca,ccb,ccc},
{bca,bcb,bcc},
{cba,cbb,cbc},
{aca,acb,acc},
{caa,cab,cac},
{aba,abb,abc},
{baa,bab,bac},
{BAD,BAD,abc},
{BAD,BAD,bac},
{BAD,BAD,bbc},
{BAD,acb,BAD},
{BAD,cab,BAD},
{BAD,acb,BAD},
{BAD,BAD,aac},
{BAD,BAD,abc},
{BAD,BAD,bac},
{bca,BAD,BAD},
{cba,BAD,BAD},
{cca,BAD,BAD},
{BAD,aab,BAD},
{BAD,acb,BAD},
{BAD,cab,BAD},
{bba,BAD,BAD},
{bca,BAD,BAD},
{cba,BAD,BAD},
{BAD,BAD,BAD},
{BAD,BAD,BAD},
{BAD,BAD,BAD},
{BAD,BAD,BAD}
